Call Sign,Radio Service Code,License Holder,FRN,Sprint Equivalent,Block,MHz,POPs,MHz-POPs,License Effective,License Expires,Pending Applications,Tribal License,Lease ID,Lessee Name,Lessee Sprint Equivalent,Lease Commenced,Lease Expires,License Contact,License Email,License Phone
B022,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B027,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B021,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B036,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B032,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B031,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B037,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B026,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,L000043510,"Southern Communications Services, Inc. d/b/a Southern Linc",No,05/11/2021,03/10/2024,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B028,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B041,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B040,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B029,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,L000011431,"Tecore Government Services, LLC",No,02/15/2014,12/14/2024,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B038,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B043,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B042,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B030,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B039,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B044,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B046,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B051,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B045,BR,"American Telecasting Development, LLC",0001606201,Yes,BEFH,73.5,Unknown,Unknown,09/11/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B047,BR,"PCTV Gold II, LLC",0003573672,Yes,BEFH,73.5,Unknown,Unknown,09/21/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B050,BR,"American Telecasting Development, LLC",0001606201,Yes,BEFH,73.5,Unknown,Unknown,09/11/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B052,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B049,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B058,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B057,BR,"Central Texas Communications, Inc.",0004544219,No,EFH,66.0,Unknown,Unknown,07/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,Jamey Wigley,jameyw@centexnet.com,(325)938-5611
B061,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B060,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B062,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B055,BR,"WBSY Licensing, LLC",0004357273,Yes,BEFH,73.5,Unknown,Unknown,10/09/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B068,BR,"Plateau Telecommunications, Incorporated",0003800570,No,BEFH,73.5,Unknown,Unknown,06/05/2019,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,Launa Waller,lwaller@plateautel.com,(575)389-4211
B054,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B059,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B065,BR,"American Telecasting Development, LLC",0001606201,Yes,BEFH,73.5,Unknown,Unknown,09/11/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B071,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B067,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B064,BR,Clearwire Spectrum Holdings III LLC,0018399998,Yes,BEFH,73.5,Unknown,Unknown,02/10/2022,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B066,BR,Clearwire Spectrum Holdings III LLC,0018399998,Yes,BEFH,73.5,Unknown,Unknown,10/29/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B078,BR,"PCTV Gold II, LLC",0003573672,Yes,BEFH,73.5,Unknown,Unknown,09/21/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B073,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B069,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B074,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B079,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B075,BR,"SprintCom, Inc.",0002315950,Yes,BEFH,73.5,Unknown,Unknown,11/16/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B077,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B084,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B076,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B088,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B085,BR,Clearwire Spectrum Holdings II LLC,0015316904,Yes,BEFH,73.5,Unknown,Unknown,10/28/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B086,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B081,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B083,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B087,BR,"Plateau Telecommunications, Incorporated",0003800570,No,BEFH,73.5,Unknown,Unknown,06/05/2019,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,Launa Waller,lwaller@plateautel.com,(575)389-4211
B090,BR,Clearwire Spectrum Holdings III LLC,0018399998,Yes,BEFH,73.5,Unknown,Unknown,10/29/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B089,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B094,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B098,BR,Clearwire Spectrum Holdings III LLC,0018399998,Yes,BEFH,73.5,Unknown,Unknown,02/10/2022,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B092,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B099,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B091,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B097,BR,"American Telecasting Development, LLC",0001606201,Yes,BEFH,73.5,Unknown,Unknown,09/11/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B106,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B095,BR,Clearwire Spectrum Holdings III LLC,0018399998,Yes,BEFH,73.5,Unknown,Unknown,02/10/2022,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B093,BR,"PCTV Gold II, LLC",0003573672,Yes,BEFH,73.5,Unknown,Unknown,09/21/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B100,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B101,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,L000045993,"360 Communications, Inc.",No,03/16/2022,03/28/2026,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B103,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B102,BR,Clearwire Spectrum Holdings II LLC,0015316904,Yes,BEFH,73.5,Unknown,Unknown,10/28/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B109,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B107,BR,Clearwire Spectrum Holdings II LLC,0015316904,Yes,BEFH,73.5,Unknown,Unknown,10/28/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B108,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B114,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B112,BR,"PCTV Gold II, LLC",0003573672,Yes,BEFH,73.5,Unknown,Unknown,09/21/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B117,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B111,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B110,BR,Clearwire Spectrum Holdings II LLC,0015316904,Yes,BEFH,73.5,Unknown,Unknown,10/28/2021,03/28/2026,No,No,L000031793,"Nex-Tech Wireless, LLC",No,07/27/2018,04/23/2023,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B125,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B120,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B123,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B118,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B119,BR,Clearwire Spectrum Holdings II LLC,0015316904,Yes,BEFH,73.5,Unknown,Unknown,10/28/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B126,BR,Clearwire Spectrum Holdings III LLC,0018399998,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
